,Unnamed: 0.2,tweet_id,time,tweet,retweet_count,tweet_clean,Subjectivity,Polarity,presidential_aspirant,Party
2769,2769,1.553787751799165e+18,2022-07-31 17:00:42+00:00,"RT @table_shaker_: Nigeria would have a new leader with a fresh start and a better reputation in the international community if PRINCE, ADE…",3,nigeria new leader fresh start better reputation international community prince ade,0.36363636363636365,0.23409090909090907,None,None
2770,2770,1.5537874336486277e+18,2022-07-31 16:59:26+00:00,Nigeria would have a new leader with a fresh start and a better reputation in the international community if PRINCE… https://t.co/l6c4Rk1ErS,3,nigeria new leader fresh start better reputation international community prince,0.36363636363636365,0.23409090909090907,None,None
5000,5000,1.5552207202041037e+18,2022-08-04 15:54:48+00:00,"APC Govt that has kept Nigerian Students at home for over 6months, just donated N1.4billion to the Govt of Niger Re… https://t.co/CLnVLk29hh",0,apc govt keep nigerian students home months donate billion govt niger,0.0,0.0,None,APC
5004,5004,1.5552206373330289e+18,2022-08-04 15:54:29+00:00,@Gifted_Kabi Una no go use innovation wound APC &amp; PDP. Ahn ahn,0,una use innovation wind apc amp pdp ahn,0.0,0.0,None,PDP
5009,5009,1.555220557653844e+18,2022-08-04 15:54:10+00:00,"RT @ChibabaJoel: @DemolaRewaju PDP’s chances are very much slimmer than before this time. 

Apart from incumbency that will give a leverage…",1,pdp chance slimmer time apart incumbency leverage,0.0,0.0,None,PDP
5010,5010,1.5552205154717368e+18,2022-08-04 15:54:00+00:00,"@SimplyTEEWHY @FrUgochukwu I really don't understand this same people voted for Change oh.
Una go tire make una dey wait for PDP",0,understand people vote change una tire una dey wait pdp,0.0,0.0,None,PDP
5013,5013,1.555220483246809e+18,2022-08-04 15:53:52+00:00,"RT @DynamicCatholic: ""Holy Moments give meaning and divine purpose to our lives. Meaning is crucial to our health and happiness. We cannot…",1,holy moments mean divine purpose live mean crucial health happiness,0.615,0.04227272727272726,None,None
5015,5015,1.555220427986854e+18,2022-08-04 15:53:39+00:00,@a_aaimi Covid,0,covid,0.0,0.0,None,None
5017,5017,1.5552204078878433e+18,2022-08-04 15:53:34+00:00,"APC and PDP are one and the same thing, bunch of useless people #VawulenceSpace",0,apc pdp thing bunch useless people,0.2,-0.5,None,APC
5018,5018,1.5552203858383872e+18,2022-08-04 15:53:29+00:00,The funniest part is that PDP boys don't need to look far to be able to attack APC BOYS  but they're busy fighting… https://t.co/agS8Fg7gm5,0,funniest pdp boys need look far able attack apc boys busy fight,0.6416666666666667,0.2333333333333333,None,PDP
5019,5019,1.5552203855195177e+18,2022-08-04 15:53:29+00:00,"To tell you that PDP and APC are the same, Daniel Bwala moved from APC to PDP and became the campaign spokesperson of the party. 

Lol!",0,tell pdp apc daniel bwala move apc pdp campaign spokesperson party lol,0.7,0.8,None,pdp
5022,5022,1.5552203331871703e+18,2022-08-04 15:53:16+00:00,@Naija_PR This is what APC and PDP want to turn Nigeria into. Never. LP all the way,0,apc pdp want turn nigeria way,0.0,0.0,None,APC
5040,5040,1.5552201348469228e+18,2022-08-04 15:52:29+00:00,@IbekweOnwuezobe Is there one thing PDP has gotten right about this campaign?,0,thing pdp get right campaign,0.5357142857142857,0.2857142857142857,None,PDP
5044,5044,1.5552200701498982e+18,2022-08-04 15:52:13+00:00,"@PeterPsquare It is clear, First the did railway and now they bought vehicles worth billions for Niger... Is Buhari… https://t.co/8jBBzN2aV4",0,clear railway buy vehicles worth billions niger buhari,0.24166666666666664,0.2,None,None
5047,5047,1.55522001427746e+18,2022-08-04 15:52:00+00:00,"RT @KAFTAN_TV: A former deputy governor in the immediate past APC government in Bauchi state, Audu Sule Katagum alongside Commissioners and…",1,deputy governor immediate past apc government bauchi state audu sule katagum alongside commissioners,0.25,-0.25,None,APC
5051,5051,1.5552199787684905e+18,2022-08-04 15:51:52+00:00,"@FrUgochukwu What of the minor opposition party seeking to win presidency in 2023?

Why are they useless but only s… https://t.co/gpvstDF1dY",0,minor opposition party seek win presidency useless,0.26666666666666666,0.08333333333333333,None,None
5055,5055,1.5552199516440248e+18,2022-08-04 15:51:45+00:00,"What of the minor opposition party seeking to win presidency in 2023?

Why are they useless but only shouting on so… https://t.co/T80EdetKZM",0,minor opposition party seek win presidency useless shout,0.26666666666666666,0.08333333333333333,None,None
5058,5058,1.5552199317462098e+18,2022-08-04 15:51:40+00:00,@obishyy @NgLabour @PeterObi @Chude__ @Jack_ng01 @Coal__City @Nedumcity_ Let work very hard in voting 4 brighter En… https://t.co/I27vATYy7G,0,let work hard vote brighter,0.5416666666666666,-0.2916666666666667,None,None
5065,5065,1.5552197989839503e+18,2022-08-04 15:51:09+00:00,"2023: Ex-Deputy Governor Katagum, Others Defect To PDP In Bauchi https://t.co/PCWlVjsLiv",0,deputy governor katagum defect pdp bauchi,0.0,0.0,None,PDP
5068,5068,1.55521976656606e+18,2022-08-04 15:51:01+00:00,RT @IkukuomaC: @Elkrosmediahub @IamEkene_ What were you expecting before?? The same party that saw a rumour spread that Peter Obi was Chukw…,1,expect party saw rumour spread peter obi chukw,0.0,0.0,PeterObi,None
5072,5072,1.5552197381706916e+18,2022-08-04 15:50:54+00:00,"This how APC and Buhari rescued Nigerians from PDP

Simp| Nigerien| Arise Tv| Asuu| iPhone 14| Neco| Doyin| TG Omor… https://t.co/LkCUgwptZq",0,apc buhari rescue nigerians pdp simp nigerien arise asuu iphone neco doyin omor,0.0,0.0,None,PDP
5074,5074,1.5552197051614495e+18,2022-08-04 15:50:46+00:00,"Or as some would say, to redirect votes back to PDP by stepping down at some point 😅 https://t.co/GUlKqjcFor",0,redirect vote pdp step point,0.0,0.0,None,PDP
5076,5076,1.5552196403134218e+18,2022-08-04 15:50:31+00:00,"A former deputy governor in the immediate past APC government in Bauchi state, Audu Sule Katagum alongside Commissi… https://t.co/A9O4DLSBmS",1,deputy governor immediate past apc government bauchi state audu sule katagum alongside commissi,0.25,-0.25,None,APC
5090,5090,1.5552193176539996e+18,2022-08-04 15:49:14+00:00,@Nnaba_Frank @TheNationNews I find it difficult to understand what these people (Yotubas) take us(Igbos) for. After… https://t.co/lM32yd6E70,0,difficult understand people yotubas igbos,1.0,-0.5,None,None
5104,5104,1.5552191516349809e+18,2022-08-04 15:48:34+00:00,"In all honesty, I want to be part of PDP presidential campaign. I have the niche to itemize the APC failures and li… https://t.co/5Ujo9VjIDb",0,honesty want pdp presidential campaign niche itemize apc failures,0.0,0.0,None,PDP
5105,5105,1.5552191305711698e+18,2022-08-04 15:48:29+00:00,"@DemolaRewaju PDP cannot in all modesty, be called an opposition party.

They failed in that capacity a long time a… https://t.co/Ws1CJj66Co",0,pdp modesty call opposition party fail capacity long time,0.35,-0.275,None,PDP
5106,5106,1.5552191238897418e+18,2022-08-04 15:48:28+00:00,"RT @Okwunwoye: @DemolaRewaju What you imply is that apart from APC then it must be PDP. Which kind democracy be that. 
Your principal is pa…",1,imply apart apc pdp kind democracy principal,0.9,0.6,None,APC
5109,5109,1.555219040032985e+18,2022-08-04 15:48:08+00:00,"@General_Oluchi APC and PDP camp is full of epitome of disgrace,they only accept and love igbos when it's benefitial.",0,apc pdp camp epitome disgrace accept love igbos benefitial,0.6,0.5,None,APC
5111,5111,1.5552189909511782e+18,2022-08-04 15:47:56+00:00,"RT @Monnylink: @DemolaRewaju You didn't tell PDP to adhere to the principles of equity, fairness and justice by allowing zoning and rotatio…",1,tell pdp adhere principles equity fairness justice allow zone rotatio,0.0,0.0,None,PDP
5112,5112,1.555218984340947e+18,2022-08-04 15:47:55+00:00,"RT @aelinwa: We will be happy if you can also demand for the big shoots in APC and PDP  to follow suit. If not, nothing done has been done.…",0,happy demand big shoot apc pdp follow suit,0.55,0.4,None,APC
5118,5118,1.555218828430393e+18,2022-08-04 15:47:17+00:00,@elijah_tochukwu Thanks to  PDP that refused to play the role of opposition for 7yrs,0,thank pdp refuse play role opposition yrs,0.0,0.0,None,PDP
5121,5121,1.5552187813996626e+18,2022-08-04 15:47:06+00:00,"@byusuf58 @Okwesilieze82 @Charlesochapa2 @UchePOkoye What state are you from? Because if you’re from Nasarawa, you… https://t.co/K4BYVFRtAX",0,state nasarawa,0.0,0.0,None,None
